# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2025-11-07 21:08:38 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 011058798 HERRING R AT CHEQUESSETT NECK RD AT WELLFLEET, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 011058798
#            TS   parameter     Description
#        218558       00065     Gage height, feet, Ocean side
#         66254       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	218558_00065	218558_00065_cd	66254_00065	66254_00065_cd
USGS	011058798	2022-07-14 01:15	EDT	5.51	A	0.57	A
USGS	011058798	2022-07-14 01:20	EDT	5.35	A	0.59	A
USGS	011058798	2022-07-14 01:25	EDT	5.14	A	0.60	A
USGS	011058798	2022-07-14 01:30	EDT	4.94	A	0.63	A
USGS	011058798	2022-07-14 01:35	EDT	4.72	A	0.65	A
USGS	011058798	2022-07-14 01:40	EDT	4.52	A	0.69	A
USGS	011058798	2022-07-14 01:45	EDT	4.37	A	0.68	A
USGS	011058798	2022-07-14 01:50	EDT	4.16	A	0.72	A
USGS	011058798	2022-07-14 01:55	EDT	3.94	A	0.74	A
USGS	011058798	2022-07-14 02:00	EDT	3.72	A	0.76	A
USGS	011058798	2022-07-14 02:05	EDT	3.46	A	0.78	A
USGS	011058798	2022-07-14 02:10	EDT	3.21	A	0.80	A
USGS	011058798	2022-07-14 02:15	EDT	3.02	A	0.82	A
USGS	011058798	2022-07-14 02:20	EDT	2.80	A	0.82	A
USGS	011058798	2022-07-14 02:25	EDT	2.59	A	0.84	A
USGS	011058798	2022-07-14 02:30	EDT	2.37	A	0.85	A
USGS	011058798	2022-07-14 02:35	EDT	2.14	A	0.86	A
USGS	011058798	2022-07-14 02:40	EDT	1.93	A	0.87	A
USGS	011058798	2022-07-14 02:45	EDT	1.71	A	0.88	A
USGS	011058798	2022-07-14 02:50	EDT	1.50	A	0.89	A
USGS	011058798	2022-07-14 02:55	EDT	1.30	A	0.90	A
USGS	011058798	2022-07-14 03:00	EDT	1.10	A	0.90	A
USGS	011058798	2022-07-14 03:05	EDT	0.90	A	0.90	A
USGS	011058798	2022-07-14 03:10	EDT	0.69	A	0.90	A
USGS	011058798	2022-07-14 03:15	EDT	0.48	A	0.90	A
USGS	011058798	2022-07-14 03:20	EDT	0.26	A	0.88	A
USGS	011058798	2022-07-14 03:25	EDT	0.01	A	0.86	A
USGS	011058798	2022-07-14 03:30	EDT	-0.22	A	0.84	A
USGS	011058798	2022-07-14 03:35	EDT	-0.46	A	0.80	A
USGS	011058798	2022-07-14 03:40	EDT	-0.67	A	0.77	A
USGS	011058798	2022-07-14 03:45	EDT	-0.87	A	0.72	A
USGS	011058798	2022-07-14 03:50	EDT	-1.07	A	0.68	A
USGS	011058798	2022-07-14 03:55	EDT	-1.25	A	0.64	A
USGS	011058798	2022-07-14 04:00	EDT	-1.50	A	0.59	A
USGS	011058798	2022-07-14 04:05	EDT	-1.67	A	0.55	A
USGS	011058798	2022-07-14 04:10	EDT	-1.88	A	0.49	A
USGS	011058798	2022-07-14 04:15	EDT	-2.04	A	0.45	A
USGS	011058798	2022-07-14 04:20	EDT	-2.25	A	0.40	A
USGS	011058798	2022-07-14 04:25	EDT	-2.37	A	0.35	A
USGS	011058798	2022-07-14 04:30	EDT	-2.48	A	0.30	A
USGS	011058798	2022-07-14 04:35	EDT	-2.56	A	0.25	A
USGS	011058798	2022-07-14 04:40	EDT	-2.63	A	0.20	A
USGS	011058798	2022-07-14 04:45	EDT	-2.68	A	0.15	A
USGS	011058798	2022-07-14 04:50	EDT	-2.81	A	0.10	A
USGS	011058798	2022-07-14 04:55	EDT	-2.84	A	0.04	A
USGS	011058798	2022-07-14 05:00	EDT	-2.92	A	-0.01	A
USGS	011058798	2022-07-14 05:05	EDT	-2.89	A	-0.07	A
USGS	011058798	2022-07-14 05:10	EDT	-2.92	A	-0.12	A
USGS	011058798	2022-07-14 05:15	EDT	-2.99	A	-0.17	A
USGS	011058798	2022-07-14 05:20	EDT	-2.98	A	-0.23	A
USGS	011058798	2022-07-14 05:25	EDT	-2.97	A	-0.28	A
USGS	011058798	2022-07-14 05:30	EDT	-3.05	A	-0.33	A
USGS	011058798	2022-07-14 05:35	EDT	-3.00	A	-0.38	A
USGS	011058798	2022-07-14 05:40	EDT	-3.02	A	-0.43	A
USGS	011058798	2022-07-14 05:45	EDT	-3.06	A	-0.49	A
USGS	011058798	2022-07-14 05:50	EDT	-3.02	A	-0.54	A
USGS	011058798	2022-07-14 05:55	EDT	-2.99	A	-0.59	A
USGS	011058798	2022-07-14 06:00	EDT	-3.05	A	-0.63	A
USGS	011058798	2022-07-14 06:05	EDT	-3.08	A	-0.68	A
USGS	011058798	2022-07-14 06:10	EDT	-3.03	A	-0.72	A
USGS	011058798	2022-07-14 06:15	EDT	-3.10	A	-0.77	A
USGS	011058798	2022-07-14 06:20	EDT	-3.06	A	-0.82	A
USGS	011058798	2022-07-14 06:25	EDT	-3.13	A	-0.86	A
USGS	011058798	2022-07-14 06:30	EDT	-3.18	A	-0.91	A
USGS	011058798	2022-07-14 06:35	EDT	-3.22	A	-0.95	A
USGS	011058798	2022-07-14 06:40	EDT	-3.18	A	-1.00	A
USGS	011058798	2022-07-14 06:45	EDT	-3.19	A	-1.04	A
USGS	011058798	2022-07-14 06:50	EDT	-3.18	A	-1.08	A
USGS	011058798	2022-07-14 06:55	EDT	-3.16	A	-1.13	A
USGS	011058798	2022-07-14 07:00	EDT	-3.15	A	-1.17	A
USGS	011058798	2022-07-14 07:05	EDT	-3.15	A	-1.22	A
USGS	011058798	2022-07-14 07:10	EDT	-3.15	A	-1.26	A
USGS	011058798	2022-07-14 07:15	EDT	-3.14	A	-1.31	A
USGS	011058798	2022-07-14 07:20	EDT	-3.15	A	-1.35	A
USGS	011058798	2022-07-14 07:25	EDT	-3.17	A	-1.39	A
USGS	011058798	2022-07-14 07:30	EDT	-3.18	A	-1.43	A
USGS	011058798	2022-07-14 07:35	EDT	-3.19	A	-1.47	A
USGS	011058798	2022-07-14 07:40	EDT	-3.22	A	-1.51	A
USGS	011058798	2022-07-14 07:45	EDT	-3.22	A	-1.55	A
USGS	011058798	2022-07-14 07:50	EDT	-3.22	A	-1.58	A
USGS	011058798	2022-07-14 07:55	EDT	-3.23	A	-1.62	A
USGS	011058798	2022-07-14 08:00	EDT	-3.23	A	-1.65	A
USGS	011058798	2022-07-14 08:05	EDT	-3.24	A	-1.68	A
USGS	011058798	2022-07-14 08:10	EDT	-3.25	A	-1.72	A
USGS	011058798	2022-07-14 08:15	EDT	-3.26	A	-1.75	A
USGS	011058798	2022-07-14 08:20	EDT	-3.29	A	-1.77	A
USGS	011058798	2022-07-14 08:25	EDT	-3.30	A	-1.80	A
USGS	011058798	2022-07-14 08:30	EDT	-3.30	A	-1.83	A
USGS	011058798	2022-07-14 08:35	EDT	-3.32	A	-1.86	A
USGS	011058798	2022-07-14 08:40	EDT	-3.31	A	-1.88	A
USGS	011058798	2022-07-14 08:45	EDT	-3.30	A	-1.92	A
USGS	011058798	2022-07-14 08:50	EDT	-3.31	A	-1.95	A
USGS	011058798	2022-07-14 08:55	EDT	-3.28	A	-1.97	A
USGS	011058798	2022-07-14 09:00	EDT	-3.27	A	-1.99	A
USGS	011058798	2022-07-14 09:05	EDT	-3.06	A	-2.02	A
USGS	011058798	2022-07-14 09:10	EDT	-2.63	A	-2.04	A
USGS	011058798	2022-07-14 09:15	EDT	-2.15	A	-2.04	A
USGS	011058798	2022-07-14 09:20	EDT	-1.76	A	-1.92	A
USGS	011058798	2022-07-14 09:25	EDT	-1.39	A	-1.72	A
USGS	011058798	2022-07-14 09:30	EDT	-1.06	A	-1.64	A
USGS	011058798	2022-07-14 09:35	EDT	-0.75	A	-1.61	A
USGS	011058798	2022-07-14 09:40	EDT	-0.45	A	-1.56	A
USGS	011058798	2022-07-14 09:45	EDT	-0.27	A	-1.51	A
USGS	011058798	2022-07-14 09:50	EDT	-0.03	A	-1.48	A
USGS	011058798	2022-07-14 09:55	EDT	0.23	A	-1.44	A
USGS	011058798	2022-07-14 10:00	EDT	0.42	A	-1.42	A
USGS	011058798	2022-07-14 10:05	EDT	0.71	A	-1.38	A
USGS	011058798	2022-07-14 10:10	EDT	1.01	A	-1.35	A
USGS	011058798	2022-07-14 10:15	EDT	1.29	A	-1.32	A
USGS	011058798	2022-07-14 10:20	EDT	1.58	A	-1.29	A
USGS	011058798	2022-07-14 10:25	EDT	1.78	A	-1.24	A
USGS	011058798	2022-07-14 10:30	EDT	2.02	A	-1.21	A
USGS	011058798	2022-07-14 10:35	EDT	2.17	A	-1.19	A
USGS	011058798	2022-07-14 10:40	EDT	2.36	A	-1.15	A
USGS	011058798	2022-07-14 10:45	EDT	2.60	A	-1.10	A
USGS	011058798	2022-07-14 10:50	EDT	2.84	A	-1.07	A
USGS	011058798	2022-07-14 10:55	EDT	3.10	A	-1.03	A
USGS	011058798	2022-07-14 11:00	EDT	3.35	A	-0.99	A
USGS	011058798	2022-07-14 11:05	EDT	3.65	A	-0.96	A
USGS	011058798	2022-07-14 11:10	EDT	3.87	A	-0.92	A
USGS	011058798	2022-07-14 11:15	EDT	4.10	A	-0.87	A
USGS	011058798	2022-07-14 11:20	EDT	4.32	A	-0.82	A
USGS	011058798	2022-07-14 11:25	EDT	4.56	A	-0.80	A
USGS	011058798	2022-07-14 11:30	EDT	4.75	A	-0.75	A
USGS	011058798	2022-07-14 11:35	EDT	4.95	A	-0.72	A
USGS	011058798	2022-07-14 11:40	EDT	5.13	A	-0.66	A
USGS	011058798	2022-07-14 11:45	EDT	5.19	A	-0.63	A
USGS	011058798	2022-07-14 11:50	EDT	5.24	A	-0.59	A
USGS	011058798	2022-07-14 11:55	EDT	5.28	A	-0.54	A
USGS	011058798	2022-07-14 12:00	EDT	5.36	A	-0.49	A
USGS	011058798	2022-07-14 12:05	EDT	5.40	A	-0.46	A
USGS	011058798	2022-07-14 12:10	EDT	5.41	A	-0.40	A
USGS	011058798	2022-07-14 12:15	EDT	5.43	A	-0.35	A
USGS	011058798	2022-07-14 12:20	EDT	5.42	A	-0.31	A
USGS	011058798	2022-07-14 12:25	EDT	5.45	A	-0.30	A
USGS	011058798	2022-07-14 12:30	EDT	5.51	A	-0.23	A
USGS	011058798	2022-07-14 12:35	EDT	5.55	A	-0.21	A
USGS	011058798	2022-07-14 12:40	EDT	5.51	A	-0.15	A
USGS	011058798	2022-07-14 12:45	EDT	5.48	A	-0.12	A
USGS	011058798	2022-07-14 12:50	EDT	5.47	A	-0.09	A
USGS	011058798	2022-07-14 12:55	EDT	5.41	A	-0.02	A
USGS	011058798	2022-07-14 13:00	EDT	5.33	A	-0.00	A
USGS	011058798	2022-07-14 13:05	EDT	5.26	A	0.04	A
USGS	011058798	2022-07-14 13:10	EDT	5.15	A	0.06	A
USGS	011058798	2022-07-14 13:15	EDT	5.05	A	0.14	A
USGS	011058798	2022-07-14 13:20	EDT	4.96	A	0.16	A
USGS	011058798	2022-07-14 13:25	EDT	4.86	A	0.20	A
USGS	011058798	2022-07-14 13:30	EDT	4.77	A	0.22	A
USGS	011058798	2022-07-14 13:35	EDT	4.65	A	0.25	A
USGS	011058798	2022-07-14 13:40	EDT	4.52	A	0.30	A
USGS	011058798	2022-07-14 13:45	EDT	4.38	A	0.33	A
USGS	011058798	2022-07-14 13:50	EDT	4.25	A	0.35	A
USGS	011058798	2022-07-14 13:55	EDT	4.10	A	0.37	A
USGS	011058798	2022-07-14 14:00	EDT	3.96	A	0.42	A
USGS	011058798	2022-07-14 14:05	EDT	3.82	A	0.44	A
USGS	011058798	2022-07-14 14:10	EDT	3.65	A	0.45	A
USGS	011058798	2022-07-14 14:15	EDT	3.43	A	0.49	A
USGS	011058798	2022-07-14 14:20	EDT	3.24	A	0.50	A
USGS	011058798	2022-07-14 14:25	EDT	3.06	A	0.54	A
USGS	011058798	2022-07-14 14:30	EDT	2.93	A	0.56	A
USGS	011058798	2022-07-14 14:35	EDT	2.78	A	0.58	A
USGS	011058798	2022-07-14 14:40	EDT	2.61	A	0.60	A
USGS	011058798	2022-07-14 14:45	EDT	2.45	A	0.61	A
USGS	011058798	2022-07-14 14:50	EDT	2.26	A	0.63	A
USGS	011058798	2022-07-14 14:55	EDT	2.08	A	0.65	A
USGS	011058798	2022-07-14 15:00	EDT	1.94	A	0.65	A
USGS	011058798	2022-07-14 15:05	EDT	1.81	A	0.66	A
USGS	011058798	2022-07-14 15:10	EDT	1.66	A	0.68	A
USGS	011058798	2022-07-14 15:15	EDT	1.48	A	0.69	A
USGS	011058798	2022-07-14 15:20	EDT	1.33	A	0.70	A
USGS	011058798	2022-07-14 15:25	EDT	1.16	A	0.71	A
USGS	011058798	2022-07-14 15:30	EDT	0.92	A	0.72	A
USGS	011058798	2022-07-14 15:35	EDT	0.72	A	0.72	A
USGS	011058798	2022-07-14 15:40	EDT	0.48	A	0.73	A
USGS	011058798	2022-07-14 15:45	EDT	0.28	A	0.73	A
USGS	011058798	2022-07-14 15:50	EDT	0.04	A	0.71	A
USGS	011058798	2022-07-14 15:55	EDT	-0.21	A	0.68	A
USGS	011058798	2022-07-14 16:00	EDT	-0.43	A	0.65	A
USGS	011058798	2022-07-14 16:05	EDT	-0.60	A	0.62	A
USGS	011058798	2022-07-14 16:10	EDT	-0.79	A	0.58	A
USGS	011058798	2022-07-14 16:15	EDT	-0.97	A	0.54	A
USGS	011058798	2022-07-14 16:20	EDT	-1.16	A	0.49	A
USGS	011058798	2022-07-14 16:25	EDT	-1.35	A	0.45	A
USGS	011058798	2022-07-14 16:30	EDT	-1.53	A	0.40	A
USGS	011058798	2022-07-14 16:35	EDT	-1.71	A	0.35	A
USGS	011058798	2022-07-14 16:40	EDT	-1.85	A	0.29	A
USGS	011058798	2022-07-14 16:45	EDT	-2.02	A	0.24	A
USGS	011058798	2022-07-14 16:50	EDT	-2.23	A	0.19	A
USGS	011058798	2022-07-14 16:55	EDT	-2.36	A	0.13	A
USGS	011058798	2022-07-14 17:00	EDT	-2.51	A	0.08	A
USGS	011058798	2022-07-14 17:05	EDT	-2.58	A	0.02	A
USGS	011058798	2022-07-14 17:10	EDT	-2.67	A	-0.03	A
USGS	011058798	2022-07-14 17:15	EDT	-2.74	A	-0.09	A
USGS	011058798	2022-07-14 17:20	EDT	-2.81	A	-0.15	A
USGS	011058798	2022-07-14 17:25	EDT	-2.80	A	-0.20	A
USGS	011058798	2022-07-14 17:30	EDT	-2.92	A	-0.25	A
USGS	011058798	2022-07-14 17:35	EDT	-2.96	A	-0.31	A
USGS	011058798	2022-07-14 17:40	EDT	-2.91	A	-0.36	A
USGS	011058798	2022-07-14 17:45	EDT	-3.01	A	-0.42	A
USGS	011058798	2022-07-14 17:50	EDT	-3.03	A	-0.47	A
USGS	011058798	2022-07-14 17:55	EDT	-3.05	A	-0.52	A
USGS	011058798	2022-07-14 18:00	EDT	-3.03	A	-0.58	A
USGS	011058798	2022-07-14 18:05	EDT	-3.03	A	-0.63	A
USGS	011058798	2022-07-14 18:10	EDT	-3.01	A	-0.68	A
USGS	011058798	2022-07-14 18:15	EDT	-3.10	A	-0.73	A
USGS	011058798	2022-07-14 18:20	EDT	-3.05	A	-0.78	A
USGS	011058798	2022-07-14 18:25	EDT	-3.08	A	-0.82	A
USGS	011058798	2022-07-14 18:30	EDT	-3.12	A	-0.88	A
USGS	011058798	2022-07-14 18:35	EDT	-3.14	A	-0.92	A
USGS	011058798	2022-07-14 18:40	EDT	-3.20	A	-0.97	A
USGS	011058798	2022-07-14 18:45	EDT	-3.19	A	-1.02	A
USGS	011058798	2022-07-14 18:50	EDT	-3.13	A	-1.07	A
USGS	011058798	2022-07-14 18:55	EDT	-3.17	A	-1.12	A
USGS	011058798	2022-07-14 19:00	EDT	-3.10	A	-1.15	A
USGS	011058798	2022-07-14 19:05	EDT	-3.13	A	-1.20	A
USGS	011058798	2022-07-14 19:10	EDT	-3.14	A	-1.24	A
USGS	011058798	2022-07-14 19:15	EDT	-3.14	A	-1.29	A
USGS	011058798	2022-07-14 19:20	EDT	-3.15	A	-1.32	A
USGS	011058798	2022-07-14 19:25	EDT	-3.15	A	-1.37	A
USGS	011058798	2022-07-14 19:30	EDT	-3.16	A	-1.41	A
USGS	011058798	2022-07-14 19:35	EDT	-3.17	A	-1.45	A
USGS	011058798	2022-07-14 19:40	EDT	-3.18	A	-1.48	A
USGS	011058798	2022-07-14 19:45	EDT	-3.18	A	-1.52	A
USGS	011058798	2022-07-14 19:50	EDT	-3.21	A	-1.56	A
USGS	011058798	2022-07-14 19:55	EDT	-3.21	A	-1.60	A
USGS	011058798	2022-07-14 20:00	EDT	-3.19	A	-1.64	A
USGS	011058798	2022-07-14 20:05	EDT	-3.22	A	-1.66	A
USGS	011058798	2022-07-14 20:10	EDT	-3.24	A	-1.69	A
USGS	011058798	2022-07-14 20:15	EDT	-3.24	A	-1.72	A
USGS	011058798	2022-07-14 20:20	EDT	-3.27	A	-1.76	A
USGS	011058798	2022-07-14 20:25	EDT	-3.27	A	-1.81	A
USGS	011058798	2022-07-14 20:30	EDT	-3.26	A	-1.83	A
USGS	011058798	2022-07-14 20:35	EDT	-3.27	A	-1.86	A
USGS	011058798	2022-07-14 20:40	EDT	-3.21	A	-1.88	A
USGS	011058798	2022-07-14 20:45	EDT	-2.92	A	-1.93	A
USGS	011058798	2022-07-14 20:50	EDT	-2.44	A	-1.93	A
USGS	011058798	2022-07-14 20:55	EDT	-1.96	A	-1.94	A
USGS	011058798	2022-07-14 21:00	EDT	-1.54	A	-1.78	A
USGS	011058798	2022-07-14 21:05	EDT	-1.14	A	-1.62	A
USGS	011058798	2022-07-14 21:10	EDT	-0.75	A	-1.57	A
USGS	011058798	2022-07-14 21:15	EDT	-0.38	A	-1.54	A
USGS	011058798	2022-07-14 21:20	EDT	-0.08	A	-1.49	A
USGS	011058798	2022-07-14 21:25	EDT	0.19	A	-1.46	A
USGS	011058798	2022-07-14 21:30	EDT	0.43	A	-1.43	A
USGS	011058798	2022-07-14 21:35	EDT	0.66	A	-1.41	A
USGS	011058798	2022-07-14 21:40	EDT	0.92	A	-1.38	A
USGS	011058798	2022-07-14 21:45	EDT	1.22	A	-1.35	A
USGS	011058798	2022-07-14 21:50	EDT	1.48	A	-1.31	A
USGS	011058798	2022-07-14 21:55	EDT	1.75	A	-1.28	A
USGS	011058798	2022-07-14 22:00	EDT	2.04	A	-1.24	A
USGS	011058798	2022-07-14 22:05	EDT	2.21	A	-1.21	A
USGS	011058798	2022-07-14 22:10	EDT	2.41	A	-1.17	A
USGS	011058798	2022-07-14 22:15	EDT	2.55	A	-1.14	A
USGS	011058798	2022-07-14 22:20	EDT	2.65	A	-1.11	A
USGS	011058798	2022-07-14 22:25	EDT	2.84	A	-1.07	A
USGS	011058798	2022-07-14 22:30	EDT	2.94	A	-1.04	A
USGS	011058798	2022-07-14 22:35	EDT	3.17	A	-0.99	A
USGS	011058798	2022-07-14 22:40	EDT	3.47	A	-0.96	A
USGS	011058798	2022-07-14 22:45	EDT	3.69	A	-0.93	A
USGS	011058798	2022-07-14 22:50	EDT	3.96	A	-0.88	A
USGS	011058798	2022-07-14 22:55	EDT	4.12	A	-0.84	A
USGS	011058798	2022-07-14 23:00	EDT	4.32	A	-0.82	A
USGS	011058798	2022-07-14 23:05	EDT	4.53	A	-0.77	A
USGS	011058798	2022-07-14 23:10	EDT	4.77	A	-0.73	A
USGS	011058798	2022-07-14 23:15	EDT	5.09	A	-0.70	A
USGS	011058798	2022-07-14 23:20	EDT	5.39	A	-0.67	A
USGS	011058798	2022-07-14 23:25	EDT	5.63	A	-0.62	A
USGS	011058798	2022-07-14 23:30	EDT	5.87	A	-0.57	A
USGS	011058798	2022-07-14 23:35	EDT	6.02	A	-0.54	A
USGS	011058798	2022-07-14 23:40	EDT	6.18	A	-0.51	A
USGS	011058798	2022-07-14 23:45	EDT	6.34	A	-0.44	A
USGS	011058798	2022-07-14 23:50	EDT	6.52	A	-0.40	A
USGS	011058798	2022-07-14 23:55	EDT	6.66	A	-0.38	A
USGS	011058798	2022-07-15 00:00	EDT	6.78	A	-0.33	A
USGS	011058798	2022-07-15 00:05	EDT	6.84	A	-0.28	A
USGS	011058798	2022-07-15 00:10	EDT	6.94	A	-0.24	A
USGS	011058798	2022-07-15 00:15	EDT	7.05	A	-0.23	A
USGS	011058798	2022-07-15 00:20	EDT	7.17	A	-0.17	A
USGS	011058798	2022-07-15 00:25	EDT	7.25	A	-0.13	A
USGS	011058798	2022-07-15 00:30	EDT	7.28	A	-0.08	A
USGS	011058798	2022-07-15 00:35	EDT	7.30	A	-0.06	A
USGS	011058798	2022-07-15 00:40	EDT	7.35	A	0.01	A
USGS	011058798	2022-07-15 00:45	EDT	7.38	A	0.03	A
USGS	011058798	2022-07-15 00:50	EDT	7.40	A	0.06	A
USGS	011058798	2022-07-15 00:55	EDT	7.35	A	0.10	A
USGS	011058798	2022-07-15 01:00	EDT	7.28	A	0.14	A
USGS	011058798	2022-07-15 01:05	EDT	7.21	A	0.17	A
USGS	011058798	2022-07-15 01:10	EDT	7.21	A	0.22	A
USGS	011058798	2022-07-15 01:15	EDT	7.19	A	0.25	A
USGS	011058798	2022-07-15 01:20	EDT	7.09	A	0.29	A
USGS	011058798	2022-07-15 01:25	EDT	6.97	A	0.31	A
USGS	011058798	2022-07-15 01:30	EDT	6.80	A	0.37	A
USGS	011058798	2022-07-15 01:35	EDT	6.73	A	0.40	A
USGS	011058798	2022-07-15 01:40	EDT	6.62	A	0.41	A
USGS	011058798	2022-07-15 01:45	EDT	6.45	A	0.44	A
USGS	011058798	2022-07-15 01:50	EDT	6.31	A	0.48	A
USGS	011058798	2022-07-15 01:55	EDT	6.10	A	0.51	A
USGS	011058798	2022-07-15 02:00	EDT	5.91	A	0.53	A
USGS	011058798	2022-07-15 02:05	EDT	5.74	A	0.55	A
USGS	011058798	2022-07-15 02:10	EDT	5.50	A	0.57	A
USGS	011058798	2022-07-15 02:15	EDT	5.31	A	0.59	A
USGS	011058798	2022-07-15 02:20	EDT	5.31	A	0.62	A
USGS	011058798	2022-07-15 02:25	EDT	4.83	A	0.65	A
USGS	011058798	2022-07-15 02:30	EDT	4.72	A	0.67	A
USGS	011058798	2022-07-15 02:35	EDT	4.53	A	0.68	A
USGS	011058798	2022-07-15 02:40	EDT	4.33	A	0.72	A
USGS	011058798	2022-07-15 02:45	EDT	4.14	A	0.73	A
USGS	011058798	2022-07-15 02:50	EDT	3.94	A	0.75	A
USGS	011058798	2022-07-15 02:55	EDT	3.76	A	0.77	A
USGS	011058798	2022-07-15 03:00	EDT	3.54	A	0.79	A
USGS	011058798	2022-07-15 03:05	EDT	3.31	A	0.81	A
USGS	011058798	2022-07-15 03:10	EDT	3.09	A	0.83	A
USGS	011058798	2022-07-15 03:15	EDT	2.86	A	0.84	A
USGS	011058798	2022-07-15 03:20	EDT	2.64	A	0.85	A
USGS	011058798	2022-07-15 03:25	EDT	2.44	A	0.86	A
USGS	011058798	2022-07-15 03:30	EDT	2.27	A	0.88	A
USGS	011058798	2022-07-15 03:35	EDT	2.06	A	0.89	A
USGS	011058798	2022-07-15 03:40	EDT	1.84	A	0.90	A
USGS	011058798	2022-07-15 03:45	EDT	1.63	A	0.90	A
USGS	011058798	2022-07-15 03:50	EDT	1.40	A	0.91	A
USGS	011058798	2022-07-15 03:55	EDT	1.19	A	0.92	A
USGS	011058798	2022-07-15 04:00	EDT	0.99	A	0.92	A
USGS	011058798	2022-07-15 04:05	EDT	0.80	A	0.92	A
USGS	011058798	2022-07-15 04:10	EDT	0.60	A	0.93	A
USGS	011058798	2022-07-15 04:15	EDT	0.36	A	0.91	A
USGS	011058798	2022-07-15 04:20	EDT	0.12	A	0.89	A
USGS	011058798	2022-07-15 04:25	EDT	-0.14	A	0.87	A
USGS	011058798	2022-07-15 04:30	EDT	-0.38	A	0.84	A
USGS	011058798	2022-07-15 04:35	EDT	-0.65	A	0.80	A
USGS	011058798	2022-07-15 04:40	EDT	-0.87	A	0.76	A
USGS	011058798	2022-07-15 04:45	EDT	-1.03	A	0.72	A
USGS	011058798	2022-07-15 04:50	EDT	-1.26	A	0.67	A
USGS	011058798	2022-07-15 04:55	EDT	-1.45	A	0.63	A
USGS	011058798	2022-07-15 05:00	EDT	-1.61	A	0.58	A
USGS	011058798	2022-07-15 05:05	EDT	-1.82	A	0.54	A
USGS	011058798	2022-07-15 05:10	EDT	-2.03	A	0.49	A
USGS	011058798	2022-07-15 05:15	EDT	-2.22	A	0.44	A
USGS	011058798	2022-07-15 05:20	EDT	-2.40	A	0.39	A
USGS	011058798	2022-07-15 05:25	EDT	-2.50	A	0.35	A
USGS	011058798	2022-07-15 05:30	EDT	-2.57	A	0.29	A
USGS	011058798	2022-07-15 05:35	EDT	-2.67	A	0.24	A
USGS	011058798	2022-07-15 05:40	EDT	-2.71	A	0.19	A
USGS	011058798	2022-07-15 05:45	EDT	-2.72	A	0.14	A
USGS	011058798	2022-07-15 05:50	EDT	-2.76	A	0.09	A
USGS	011058798	2022-07-15 05:55	EDT	-2.84	A	0.04	A
USGS	011058798	2022-07-15 06:00	EDT	-2.88	A	-0.01	A
USGS	011058798	2022-07-15 06:05	EDT	-2.88	A	-0.07	A
USGS	011058798	2022-07-15 06:10	EDT	-2.94	A	-0.12	A
